,Total household_per_sqmi,ACS Aggregate Number of Vehicles,2019 Daytime Pop Density,2019 Unemployment Rate,ACS Average Number of Vehicles,ACS HHs: Inc Below Poverty Level: Percent,total_population_density,2019 Median Household Income,Developed_Area_sqmi,Undeveloped_Sqmi,Developed_Open_Spaced_sqmi,Developed_Low_Intensity_sqmi,Developed_Medium_Intensity_sqmi,Developed_High_Intensity_sqmi,SUM_PASSENGERS_ON,SUM_PASSENGERS_OFF,Net_Passengers
pc1,-0.1895205698349958,0.23049674816383658,-0.2673016251592308,-0.11521945916638468,0.15496954102590138,-0.17858529858639455,-0.1998704638979505,0.20579469936079117,0.3421115485175879,0.24600498720766292,0.33376662372342436,0.3252156402925999,0.19062995087952436,0.1034661657266755,-0.29020835686378454,-0.2942996127979077,-0.2746220615670125
pc2,-0.11327291616677634,-0.09181077902673065,0.2916738235258061,-0.03232589091992458,-0.19748279067063837,-0.010988941097339501,-0.07689389025196171,-0.11490573580909297,0.29977223052988505,0.16147144318525136,0.13454036450914011,0.22853188432865565,0.39875436813022236,0.43501634522494265,0.3301167776001706,0.32023957398991426,0.29723080178512395
pc3,-0.11229604458575027,0.19833596351714183,0.2545803711265297,-0.3688074168121676,0.14461198987347598,-0.39815975913800444,-0.08521166764527684,0.33479028209452105,-0.037372529868821065,0.1846112298307029,0.18112782427767582,-0.059768858630049444,-0.32373438865456017,-0.331559614205826,0.2587828347659351,0.24427498620653681,0.18761879224709546
pc4,0.461049194460716,0.40948312471983306,0.036713593572285215,0.29723160549433,0.262237449616511,0.2710542402965336,0.453522564739459,0.08622408012114124,0.16059572292781332,0.10487306448323258,0.2042378580204367,0.22145853807456745,-0.005218269965480722,-0.11943105954011361,0.10681923180143955,0.10080101532527685,0.10629191787293282
pc5,0.43150237247403034,-0.2021328851891018,-0.09597747300519709,-0.3368414313452487,-0.5715595497559607,-0.30061518416005284,0.3965970402550952,0.15447031960922983,0.0781267673244867,-0.062374835630650945,0.06704393902966449,0.12493146015444183,0.03867508232515552,-0.02859774672255482,-0.08040618798696779,-0.05675153728992287,-0.09988702460202896
pc6,-0.11102986280491414,-0.2564562621360364,0.005795677433265588,0.44598584110085565,-0.4415367592633101,0.1731066895632089,-0.12881773837803592,0.056833862307389904,0.030867927246574847,0.519769643925016,0.2142429613036564,0.04480870632018943,-0.27038862650157824,-0.28828975932546846,-0.02802286350108608,-0.034802172683577055,0.03134033144636475
pc7,-0.0248334835243288,-0.3506507549340542,-0.07185208669853577,0.18743930118559554,0.19751939464773655,0.05269752207322657,0.11288776148721756,0.8042196685536135,-0.06214994110288143,0.05039811503609796,-0.16885118591771392,-0.13910702860398064,0.17988633984199728,0.2101495910447868,0.04371409015390773,0.03614370971736171,0.028704724564258
pc8,0.025446107963071705,-0.17616525164777208,-0.06361093670186443,-0.24677904372238568,0.28166432553543735,-0.04329791392045292,0.3482571120704453,-0.30223132209214515,-0.09957377634528254,0.6857978590586027,-0.08493544028714271,-0.2870056911775021,0.06151389502790368,0.14052080878756495,-0.02935599459200282,0.0044257086344159195,-0.12371098460964597
pc9,-0.02319099592326655,-0.053256392453197285,0.03761221979495522,-0.5549972183480564,-0.06876744822916166,0.7709660771772019,-0.08877400385983557,0.14750395597172425,0.053800207959213656,-0.012505066576065328,0.1360104320938833,-0.009426549598747893,-0.06588013560022102,-0.04815547375815051,0.04561354786688958,0.05477739822561927,-0.15828648226942216
pc10,-0.10336264208651678,-0.04278557270461289,0.6415439952993459,0.15513699183286198,0.021083532634215276,-0.06726583894227826,0.14300645962450637,0.0187940372920626,0.024573772212762576,-0.0727308346875249,0.015604507737160066,0.048700535965888345,0.00924641378309019,-0.006253113214579632,-0.01282837062088955,0.08022721756688324,-0.7147248732878914
pc11,-0.6541375770138775,-0.1441876791641146,-0.15880564989783694,0.0004087890464498429,0.029991623296346585,0.027083314795582483,0.60630507902791,-0.06816299022829192,0.10261185963119018,-0.24203020063138939,0.19361535167757107,0.10115611667007768,-0.09514273245296921,-0.10355877842577453,0.04625116936408719,-0.010804792778545038,0.11554110102349205
pc12,0.0289020519458695,0.025216375402647113,-0.5558552635344174,0.10704117381943686,-0.03259512087273508,-0.0721023587846074,-0.09375838978506573,-0.047042603567880106,0.023035657311535337,-0.05333982735801473,0.08322644420818377,-0.047465008327560024,-0.14284573092002162,0.1062226845230021,0.39689089911394365,0.5125395322976241,-0.44313476327483575
pc13,0.25273004605020155,-0.4082193814037382,0.07536306929745203,0.05450212064734151,0.2605343277455901,-0.06971484639198393,-0.11016137165869279,-0.11162202836812556,0.23115839752445957,-0.2308832504841037,0.6198207355282525,-0.35882493302465196,-0.1400983224402469,0.10451026692984267,-0.05875684024526141,-0.07274810121977758,0.06732117894584383
pc14,-0.1352734280963518,0.514800963393971,0.05143593640294323,0.06940454824766461,-0.3470069862304146,0.03457722471236228,0.1275173714942208,0.13478068550231712,-0.026041639528126506,0.01818251720713535,0.15383165950642824,-0.5374204709879439,-0.15286949317202267,0.44885456901440185,-0.0844172204511223,-0.08651337080446897,0.015441022008581046
pc15,-0.0586323682699873,0.11421332989779795,-0.05756424799964542,0.03951353119965348,-0.108412833509169,0.002518230118023518,-0.01006854697218651,-0.00030645553445225553,0.004177985895784466,-0.028336984269394586,0.15625392685368455,-0.4180515937366844,0.6973912912958863,-0.5195134931304093,0.0395012102414065,0.08230171441313028,-0.04685914970580834
